,pa,ID,set,lon,lat
695,1,695,0,-76.3284,39.8346
696,1,696,0,-76.3491,39.9989
697,1,697,0,-76.9609,40.2548
698,1,698,0,-76.3645,39.9629
699,1,699,0,-80.1583,40.4344
700,1,700,0,-122.2946,47.6301
701,1,701,0,-73.7531,40.742
702,1,702,1,-73.8521,40.7207
703,1,703,0,-74.2155,43.9692
704,1,704,0,-81.744,40.8885
705,1,705,0,-88.6518,37.5264
706,1,706,0,-74.0189,41.4167
707,1,707,0,-87.4704,33.3389
708,1,708,0,-69.0367,46.3567
709,1,709,0,-77.7651,40.1322
710,1,710,0,-83.3311,35.7023
711,1,711,0,-83.8589,35.5562
712,1,712,0,-86.5568,39.0415
713,1,713,0,-87.9017,39.4933
714,1,714,0,-84.5578,34.9172
715,1,715,0,-83.5037,34.8581
716,1,716,0,-74.188,43.9751
717,1,717,1,-79.05,35.9086
718,1,718,0,-82.566,35.6125
719,1,719,1,-83.1844,35.31
720,1,720,0,-84.0525,39.7085
721,1,721,0,-78.3466,40.5065
722,1,722,0,-79.6661,38.9408
723,1,723,0,-79.3339,40.0225
724,1,724,0,-79.9199,39.8948
725,1,725,0,-83.147,38.9237
726,1,726,0,-79.2442,40.6627
727,1,727,0,-80.4131,39.8647
728,1,728,0,-79.915,39.905
729,1,729,0,-79.4603,40.5132
730,1,730,0,-77.2525,41.2013
731,1,731,0,-79.7654,40.2512
732,1,732,0,-78.8974,40.6618
733,1,733,0,-79.1731,40.3036
734,1,734,0,-79.6444,40.4183
735,1,735,0,-79.2667,38.822
736,1,736,0,-80.15,39.9833
737,1,737,0,-82.6781,41.2806
738,1,738,0,-80.3619,40.5019
739,1,739,0,-79.8592,40.5823
740,1,740,0,-79.0013,40.5526
741,1,741,0,-79.0731,41.3873
742,1,742,0,-79.2545,38.9608
743,1,743,0,-80.1014,40.2578
